date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:46	16631/16631	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2012:57:16%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/form-mask.html	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/form-mask.html	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:48	29423/29423	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2012:57:16%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/form-validation.html	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/form-validation.html	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:48	24952/24952	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2012:57:16%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/tables-basic.html	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/tables-basic.html	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:49	22283/22283	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Nov%202023%2012:57:16%20GMT	https://doccure.dreamstechnologies.com/html/template/admin/data-tables.html	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/data-tables.html	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:49	25365/25365	---M--	200	added ('OK')	image/jpeg	etag:%226315-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/img/doctors/doctor-thumb-02.jpg	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/img/doctors/doctor-thumb-02.jpg	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:51	27396/27396	---M--	200	added ('OK')	image/jpeg	etag:%226b04-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/img/doctors/doctor-thumb-04.jpg	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/img/doctors/doctor-thumb-04.jpg	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:52	33459/33459	---M--	200	added ('OK')	image/jpeg	etag:%2282b3-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/img/doctors/doctor-thumb-03.jpg	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/img/doctors/doctor-thumb-03.jpg	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:53	26912/26912	---M--	200	added ('OK')	image/jpeg	etag:%226920-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/img/doctors/doctor-thumb-05.jpg	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/img/doctors/doctor-thumb-05.jpg	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:55	16289/16289	---M--	200	added ('OK')	image/jpeg	etag:%223fa1-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/img/patients/patient5.jpg	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/img/patients/patient5.jpg	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:55	23956/23956	---M--	200	added ('OK')	image/jpeg	etag:%225d94-60b4a1316a300%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/img/patients/patient4.jpg	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/img/patients/patient4.jpg	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:56	87535/87535	---M-Z	200	added ('OK')	text/javascript	etag:%22155ef-60b4a1316a300-gzip%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/js/jquery-3.7.1.min.js	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/js/jquery-3.7.1.min.js	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:56	80669/80669	---M-Z	200	added ('OK')	text/javascript	etag:%2213b1d-60b4a1316a300-gzip%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/js/bootstrap.bundle.min.js	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:56	4739/4739	---M-Z	200	added ('OK')	text/javascript	etag:%221283-60b4a1316a300-gzip%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/slimscroll/jquery.slimscroll.min.js	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/plugins/slimscroll/jquery.slimscroll.min.js	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:58	35658/35658	---M-Z	200	added ('OK')	text/javascript	etag:%228b4a-60b4a1316a300-gzip%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/morris/morris.min.js	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/plugins/morris/morris.min.js	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:59	1207/1207	---M-Z	200	added ('OK')	text/javascript	etag:%224b7-60b4a1316a300-gzip%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/js/chart.morris.js	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/js/chart.morris.js	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:17:59	93168/93168	---M-Z	200	added ('OK')	text/javascript	etag:%2216bf0-60b4a1316a300-gzip%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/raphael/raphael.min.js	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/plugins/raphael/raphael.min.js	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:18:00	6280/6280	---M-Z	200	added ('OK')	text/javascript	etag:%221888-60b4a1316a300-gzip%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/js/script.js	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/js/script.js	(from https://doccure.dreamstechnologies.com/html/template/admin/index.html)
22:18:01	117372/117372	---M--	200	added ('OK')	font/woff2	etag:%221ca7c-60d0a6172a000%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-brands-400.woff2	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/css/all.min.css)
22:18:02	25452/25452	---M--	200	added ('OK')	font/woff2	etag:%22636c-60d0a6172a000%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-regular-400.woff2	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/css/all.min.css)
22:18:03	68004/68004	---MCZ	200	added ('OK')	font/ttf	etag:W/%22109a4-60d0a6172a000%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-regular-400.ttf	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/css/all.min.css)
22:18:04	156496/156496	---M--	200	added ('OK')	font/woff2	etag:%2226350-60d0a6172a000%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-solid-900.woff2	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/css/all.min.css)
22:18:05	4792/4792	---M--	200	added ('OK')	font/woff2	etag:%2212b8-60d0a6172a000%22	https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-v4compatibility.woff2	C:/My%20Web%20Sites/admin%20doctor%20bhai/doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/webfonts/fa-v4compatibility.woff2	(from https://doccure.dreamstechnologies.com/html/template/admin/assets/plugins/fontawesome/css/all.min.css)
